TCP SRC PORT,TCP DST PORT,HDR_LEN,SEQ,WINDOW_SIZE,LABEL
443,35506,20,62496,65535,HTTP
34384,443,20,718,65320,HTTP
443,34384,20,1167,65535,HTTP
443,34384,20,1167,65535,HTTP
443,34384,20,1360,65535,HTTP
34384,443,20,902,65320,HTTP
34384,443,20,902,65320,HTTP
443,34384,20,1444,65535,HTTP
443,35506,20,62496,65535,HTTP
443,35506,20,62682,65535,HTTP
35506,443,20,2534,65535,HTTP
35506,443,20,2534,65535,HTTP
443,35506,20,62728,65535,HTTP
34384,443,20,948,65320,HTTP
443,34384,20,1444,65535,HTTP
443,34384,20,1444,65535,HTTP
443,34384,20,1642,65535,HTTP
443,34384,20,1680,65535,HTTP
34384,443,20,1105,65320,HTTP
34384,443,20,1105,65320,HTTP
443,34384,20,1726,65535,HTTP
56864,443,20,425,45440,HTTP
443,56864,20,461,65535,HTTP
443,56864,20,461,65535,HTTP
443,56864,20,678,65535,HTTP
56864,443,20,580,48280,HTTP
443,56864,20,716,65535,HTTP
56864,443,20,580,48280,HTTP
443,56864,20,762,65535,HTTP
34384,443,20,1151,65320,HTTP
443,34384,20,1726,65535,HTTP
443,34384,20,1726,65535,HTTP
34384,443,20,1348,65320,HTTP
443,34384,20,1959,65535,HTTP
34384,443,20,1394,65320,HTTP
443,34384,20,1959,65535,HTTP
443,34384,20,1959,65535,HTTP
443,34384,20,2217,65535,HTTP
34384,443,20,1573,65320,HTTP
34384,443,20,1573,65320,HTTP
443,34384,20,2263,65535,HTTP
56864,443,20,626,48280,HTTP
443,56864,20,762,65535,HTTP
443,56864,20,762,65535,HTTP
443,56864,20,838,65535,HTTP
56864,443,20,802,48280,HTTP
443,56864,20,876,65535,HTTP
56864,443,20,802,48280,HTTP
443,56864,20,922,65535,HTTP
35506,443,20,2580,65535,HTTP
443,35506,20,62728,65535,HTTP
443,35506,20,62728,65535,HTTP
443,35506,20,63019,65535,HTTP
35506,443,20,2670,65535,HTTP
443,35506,20,64449,65535,HTTP
443,35506,20,71190,65535,HTTP
443,35506,20,74050,65535,HTTP
35506,443,20,2670,65535,HTTP
443,35506,20,78037,65535,HTTP
35506,443,20,2670,65535,HTTP
443,35506,20,79467,65535,HTTP
35506,443,20,2670,65535,HTTP
443,35506,20,82327,65535,HTTP
35506,443,20,2670,65535,HTTP
443,35506,20,83757,65535,HTTP
35506,443,20,2670,65535,HTTP
